CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
55,13.518248000000002,52.512269,18,0,56,18,13.5200851,52.518240299999995,order_f234040c-da72-48b2-9074-a99b46df096d,refuel_253
56,13.408387,52.52735,48,0,480,48,13.4251111,52.512168599999995,order_438565c9-ecbd-4679-addd-ac8ab5c8bc55,wash_11
57,13.513866,52.38956500000001,22,0,71,22,13.509497,52.40218,order_1a97a8ff-cc71-42a9-9906-34c46f72aa8a,stationary_charge_1118
58,13.291837,52.55204499999999,21,0,480,21,13.294966,52.536317000000004,order_f847044e-307d-4f47-aeab-9fa7de2d7f34,stationary_charge_1177
59,13.412056,52.538691,20,0,480,20,13.417998800000001,52.528696200000006,order_ff63efa9-ce85-4824-97b2-a857987d6c7e,refuel_263
60,13.406747,52.57531,52,4,480,52,13.348013199999999,52.57882320000001,order_d0d66afe-4d53-4053-9fbe-d0a434df8a03,wash_13
61,13.409088,52.53879000000001,50,4,480,50,13.4251111,52.512168599999995,order_90b3b5b0-643e-4fcd-8319-14a87a7ebaf5,wash_11
62,13.392012,52.520683,49,4,480,49,13.4251111,52.512168599999995,order_b160dd73-ad5e-4093-9054-788cdcd74976,wash_11
63,13.32063,52.56681999999999,45,4,480,45,13.306432999999998,52.57751,order_b6a35988-b918-49f5-994b-8bfdd89e21e0,wash_20
64,13.322152,52.567265,46,4,480,46,13.306432999999998,52.57751,order_dd27b147-862f-4d32-a55d-0bc120e71955,wash_20
65,13.314085,52.507587,19,11,42,19,13.319459699999998,52.5127711,order_c7cf8d55-1e27-4769-8c52-198a0f6a37e6,refuel_306
66,13.36917,52.48999,18,27,237,18,13.3744405,52.489192700000004,order_ead1d306-5da6-4fec-b638-7e71cb7b9577,refuel_214
67,13.440103,52.541588,50,29,480,50,13.4251111,52.512168599999995,order_740aaccf-7be3-4a67-af27-f58bafa7f7c3,wash_11
68,13.46951,52.53361999999999,50,29,480,50,13.4251111,52.512168599999995,order_6fb15ce2-de4d-4d05-8abb-0e4dd6bf21de,wash_11
69,13.434370199999998,52.45254085,18,42,147,18,13.4260843,52.452767599999994,order_d3e5fc18-5e5e-4728-ab58-74b42303278e,refuel_265
70,13.44213384,52.46409011,17,57,131,17,13.4430158,52.4652723,order_6372b60b-0cfb-4325-8ff6-62ecba0670f7,refuel_213
71,13.417747,52.528713,48,59,480,48,13.4251111,52.512168599999995,order_f15a4806-c023-49ab-8e80-3128be15fc76,wash_11
72,13.386739000000002,52.558580000000006,51,59,480,51,13.348013199999999,52.57882320000001,order_b64bb69c-e391-43e9-98ca-e9c81fecc816,wash_13
73,13.376549,52.50074,52,59,480,52,13.4251111,52.512168599999995,order_1c8e24b3-3d1b-4dd6-807c-f35ef3b61ec4,wash_11
74,13.358447,52.508717,52,59,480,52,13.3160133,52.4818611,order_365e339e-5a64-4f85-9bbc-8c2a3c3ecf58,wash_8
75,13.436298999999998,52.493794,19,72,480,19,13.433132599444699,52.4992100272066,order_c1ffe207-c22e-43c2-b178-e076250906e8,refuel_26
76,13.422559,52.478851,18,72,480,18,13.426755899999991,52.47844139999999,order_a5734099-b176-45b4-b118-16d242f434aa,stationary_charge_1150
77,13.40464303,52.51734377,19,87,176,19,13.421876000000001,52.5138544,order_1807676d-07e4-4d6f-8943-b88d5bb2d51a,refuel_184
78,13.369795000000002,52.462437,49,99,480,49,13.4429378,52.4657783,order_0a872592-e4e5-4de0-9682-62085e4944c3,wash_12
79,13.3741244,52.50837928,19,101,236,19,13.3766736,52.5004782,order_5e6e851a-4df4-4c07-89b6-63cfacb71bc7,refuel_225
80,13.427276999999998,52.512459,18,116,356,18,13.428822023085802,52.511377965327604,order_49e4d9bf-7edf-4632-9169-80c6e6aaa2c1,refuel_112
81,13.382867999999998,52.442765,17,117,480,17,13.379670999999998,52.44414499999999,order_f046af5e-5176-4c08-8410-9999bd54f2ec,stationary_charge_159
82,13.32574297,52.50618728,20,147,311,20,13.319459699999998,52.5127711,order_bf995e34-5bde-4c47-badf-df5cc44a04b2,refuel_306
83,13.414048,52.504133,18,147,206,18,13.408157350813301,52.5041102693573,order_fabc1cb9-d2cd-4eaa-9a1a-e01a8526c4ee,refuel_41
84,13.325314,52.508614,19,147,161,19,13.319459699999998,52.5127711,order_6c6b02c5-261d-418a-a76e-11bb89b31201,refuel_306
85,13.37933711,52.49068131,18,162,191,18,13.3744405,52.489192700000004,order_7e36f98a-9646-42ac-8f15-0ee4142e1e33,refuel_214
86,13.370358,52.534311,18,162,341,18,13.3755439152807,52.5374691459754,order_5982c385-5051-4640-9361-211d84734432,refuel_42
87,13.407358,52.531837,48,164,480,48,13.4251111,52.512168599999995,order_7eee0571-d759-4b20-b9a5-feb84d448536,wash_11
88,13.387715,52.518692,16,164,480,16,13.387711,52.51860799999999,order_423ae2c8-00ac-48e7-8fdb-cac7119cfe2b,stationary_charge_268
89,13.408847,52.53889,51,169,480,51,13.4251111,52.512168599999995,order_e0528f4c-907d-4d2b-a232-68bae685da5c,wash_11
90,13.38088124,52.51214863,21,177,480,21,13.3766736,52.5004782,order_453a6d2f-1f1d-46af-9bec-ebab279e621d,refuel_225
91,13.5217606,52.48861704,20,177,191,20,13.5245151668958,52.4949072068054,order_f9ece5a2-6b64-4459-b864-6703a60e1b1e,refuel_129
92,13.34913181,52.54657389999999,18,177,480,18,13.3454394,52.54644029999999,order_f6cf9c8b-ccff-4d2c-96fb-ca0564f642e3,refuel_174
93,13.363924,52.48976999999999,50,179,480,50,13.3160133,52.4818611,order_c4c9ce8c-d9cd-499e-b6b1-4b663c7f6ac5,wash_8
94,13.376437,52.50066800000001,52,179,480,52,13.4251111,52.512168599999995,order_1ce57c66-7453-4a2e-ae72-ce92792a04ef,wash_11
95,13.376404,52.50066999999999,52,179,480,52,13.4251111,52.512168599999995,order_99abd302-1533-4eb1-af67-d7864765f604,wash_11
96,13.35218534,52.53877181,18,192,251,18,13.3438521311079,52.538230216024,order_dde6ffa4-0e92-4a24-b95d-4422c4702099,refuel_149
97,13.520413,52.488917,21,192,221,21,13.5245151668958,52.4949072068054,order_8b5ccba5-aad7-4952-ad8f-fc857a36fdfb,refuel_129
98,13.429216,52.5866,18,192,296,18,13.4299506,52.5861458,order_9ab30520-0486-4d74-a52d-2c260f69fffc,refuel_280
99,13.49746,52.50141899999999,23,192,206,23,13.4936380962355,52.5113816003253,order_cd1b0e3e-e67a-47a9-bbe8-3c8cd83b8748,refuel_34
100,13.47061577,52.55980288,17,192,480,17,13.466775400000001,52.560816,order_cb8f977d-a750-4abc-a8e1-e73c11be8125,refuel_286
101,13.417815,52.528877,48,194,480,48,13.4251111,52.512168599999995,order_e110a0d0-8088-425c-a83e-765f8b1dc26e,wash_11
102,13.419079,52.542587,50,194,480,50,13.4251111,52.512168599999995,order_cd1d89cf-38a3-42ec-8341-b294222dbcee,wash_11
103,13.387625,52.48716,53,194,480,53,13.3160133,52.4818611,order_46d63578-7a22-4759-8f12-79aec0230430,wash_8
104,13.363807,52.489666,50,194,480,50,13.3160133,52.4818611,order_5cd1035f-7994-4465-87b2-de6203d79cb3,wash_8
105,13.43352401,52.4763778,20,207,236,20,13.442994699999998,52.4657644,order_257e0fcc-e636-4666-9b72-c19270a75db4,refuel_290
106,13.408917,52.538727,51,209,480,51,13.4251111,52.512168599999995,order_3226789f-4caa-4aff-9cde-d1eaf4df7515,wash_11
107,13.374533,52.548054,18,214,480,18,13.369095000000002,52.546206999999995,order_c967adc4-b4db-4535-b24d-0b8e02519bdb,stationary_charge_756
108,13.495967000000002,52.50481,16,214,480,16,13.496068,52.504825,order_71b770e9-17b0-4f54-9ee1-61af74f44867,stationary_charge_502
109,13.400385,52.532913,17,214,480,17,13.397123,52.534702,order_452fa761-1042-4ba9-a5de-f5d100e200cf,stationary_charge_529
110,13.394293,52.453053,18,214,480,18,13.385035,52.452628000000004,order_e3be1d04-6019-43fe-bdf9-bc4fb86a2b32,stationary_charge_971
111,13.37947,52.49325,16,214,480,16,13.379560000000001,52.493281,order_86215e60-987b-4b74-9cf8-fd466a8f4da0,stationary_charge_1256
112,13.380882,52.504917000000006,16,214,480,16,13.380887,52.504762,order_cc350bc6-a5fa-40f9-9a09-2f0127f5d157,stationary_charge_691
113,13.312538,52.498867,17,214,480,17,13.313894,52.496708999999996,order_c1b48aca-55a6-4fa1-a9f7-5412dcad8350,stationary_charge_1098
114,13.339409,52.460835,18,214,480,18,13.338664999999999,52.454924,order_d9b73637-4e27-466d-9241-b7986043f696,stationary_charge_460
115,13.39025463,52.52354246,22,222,251,22,13.3755439152807,52.5374691459754,order_fa4c1d03-b7da-48f4-9740-6ae72034e0dd,refuel_42
116,13.405311,52.509856000000006,17,222,386,17,13.403225,52.510113,order_436576f7-7fdb-4d22-be2f-d34ffa4fed3a,stationary_charge_724
117,13.40315027,52.52721607,20,252,281,20,13.417998800000001,52.528696200000006,order_7e156e82-331f-4db7-bfd1-d2b14277cb0f,refuel_263
118,13.34797984,52.45162529,18,267,281,18,13.350079902109401,52.4498387143675,order_c021a802-fcad-4a94-8deb-40dc897fedb7,refuel_133
119,13.27273598,52.45090112,21,282,480,21,13.2657076867028,52.436204956358004,order_c17d24f6-9e94-4e06-b5ea-3f40c17df18c,refuel_97
120,13.32891634,52.47209558,19,296,311,19,13.3388744,52.474100899999996,order_89727d37-43cb-4078-9ba0-7b3c4f4f1504,refuel_254
121,13.377605,52.453759,17,297,480,17,13.376719999999976,52.45652,order_76cabc70-45b7-47e6-a4a0-f0d711bfc86f,stationary_charge_667
122,13.30933036,52.50763436,19,312,371,19,13.301584165683598,52.50773657458139,order_d05210c7-f081-4563-984a-8886e88d6b94,refuel_171
123,13.399293,52.542572,52,324,480,52,13.4251111,52.512168599999995,order_824ce4f7-cab5-40e2-8444-83340525e72b,wash_11
124,13.393552,52.52604300000001,49,324,480,49,13.4251111,52.512168599999995,order_392c8be8-ffaf-40d5-bc93-04818c77caa5,wash_11
125,13.32570035,52.50629281,19,326,371,19,13.319459699999998,52.5127711,order_a5f78037-0c6e-4af6-b86e-9262a5ebee6e,refuel_306
126,13.521402300000002,52.47992382,22,326,480,22,13.501955991161198,52.480896453566295,order_61a35a5a-b35a-4cb8-8cc3-7be312183048,refuel_30
127,13.31385879,52.56746418,19,326,386,19,13.3096686400332,52.5677180532301,order_1280c342-9e75-44c6-85b6-382917459b53,refuel_64
128,13.39748903,52.48896414,18,341,480,18,13.390557099999999,52.49270129999999,order_74e7b307-7710-4812-a186-79d756990506,refuel_210
129,13.378103,52.55622,18,356,480,18,13.384513001264699,52.5551477823985,order_097b723d-6e88-4b9d-99ef-c181cda90868,refuel_99
130,13.340963,52.55499,16,369,480,16,13.340873,52.554993,order_280084e4-1b37-4e4e-8dad-3a091a839a6f,stationary_charge_464
131,13.50506,52.505045,19,372,480,19,13.502235,52.498222999999996,order_bb33cf83-0c59-4d12-8a6d-deafc51fe1ae,stationary_charge_1381
132,13.47580111,52.52303824,18,372,480,18,13.4576478,52.527407600000004,order_0742737e-80bf-428e-a2bb-7a52c8c94806,refuel_138
133,13.33454432,52.47156922,18,372,386,18,13.3388744,52.474100899999996,order_85dbad01-dcc2-4037-9d04-b7df1fd10d5f,refuel_254
134,13.323415099999998,52.48531967,19,387,416,19,13.3206691,52.4842654,order_ca0b0d2d-50a3-441a-b32b-4de5ad8e0072,refuel_177
135,13.36352258,52.48266554,20,401,431,20,13.3550598,52.478646700000006,order_43008745-3077-4e5c-a3b1-ccf1a0335632,refuel_317
136,13.35039324,52.49664123,17,401,446,17,13.346618682121502,52.4962664825136,order_20a7258e-21ef-44ec-bcec-a78c68841f5f,refuel_121
137,13.363381,52.45138000000001,19,417,480,19,13.376719999999976,52.45652,order_25cebb60-c9ab-48d4-a04a-2534d9da3240,stationary_charge_667
