CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
69,13.36629623,52.57456638,20,111,260,20,13.3614366049615,52.568179657438,order_0e765644-4bbb-42e6-b890-1bf8828657c2,refuel_11
70,13.349552,52.488330000000005,16,118,480,16,13.349555,52.488368,order_5fe0ddbb-9b61-4c82-8a95-d39a1dbaca0f,stationary_charge_1009
71,13.450772,52.51506800000001,16,118,480,16,13.450787,52.515183,order_3f107b31-9e83-448e-b2ff-e2519d78fc13,stationary_charge_946
72,13.378798000000002,52.52866,16,118,480,16,13.378528,52.528994,order_51d21fa1-f326-4a5e-951b-28e2f4d29755,stationary_charge_1538
73,13.334205,52.558130000000006,18,118,480,18,13.329722,52.563734,order_26610b3c-8fba-4e42-93c5-8787c2ff6a7b,stationary_charge_7
74,13.382575,52.527267,16,118,480,16,13.383475,52.527262,order_1d7b7360-da67-418b-9308-99bcece4ee07,stationary_charge_1154
75,13.306667,52.446940000000005,16,118,480,16,13.306709,52.446983,order_0b4bd71e-6bcb-479e-ab48-1821a79658a0,stationary_charge_948
76,13.301363,52.440166000000005,18,118,480,18,13.302274,52.442574,order_16f52570-f1b0-443e-bfcd-f08c27e35875,stationary_charge_15
77,13.33820751,52.47386443,16,126,215,16,13.3388744,52.4741009,order_da0affb7-e3d7-400c-88a9-3d9cd5263966,refuel_254
78,13.470096,52.53514499999999,50,168,480,50,13.4251111,52.5121686,order_62d25df3-19f4-408a-a432-e008a94beda6,wash_11
79,13.467173,52.52403,49,168,480,49,13.4251111,52.5121686,order_847333bd-eaff-49e6-adc1-57805d952f3b,wash_11
80,13.37811,52.510859,16,185,260,16,13.378211,52.510907,order_1134887a-45dc-4733-9987-5929d3900424,stationary_charge_259
81,13.38394157,52.51842633,23,200,230,23,13.3766736,52.5004782,order_33e781b2-4c86-4a22-bfe1-1a2940045380,refuel_225
82,13.49513077,52.53730504,18,201,275,18,13.5005492,52.5428256,order_9c05102c-effb-456b-87e6-39744f37b183,refuel_258
83,13.374101,52.487841,17,215,480,17,13.3744405,52.4891927,order_4bc54e4f-9365-4f4f-b6ee-c72301507d1d,refuel_214
84,13.51830093,52.51260023,18,216,260,18,13.5200851,52.5182403,order_aae90bbb-7894-469a-8546-1ff99ed2b067,refuel_253
85,13.473348,52.493278,21,216,230,21,13.4497838,52.4971705,order_201f9926-88e8-4289-8e0b-dddafca62d90,refuel_185
86,13.499573000000002,52.536184,18,216,410,18,13.5005492,52.5428256,order_c15a4164-04b1-40e6-b591-4d5bdf54494d,refuel_258
87,13.518248000000002,52.512269,18,216,480,18,13.5200851,52.5182403,order_cb562d93-3c2c-4968-a405-a3b1f7c7af1a,refuel_253
88,13.42544,52.4983,48,228,480,48,13.4251111,52.5121686,order_d4de7c40-f8a1-41b0-8329-c78a6af71a41,wash_11
89,13.446212,52.489388,52,233,480,52,13.4251111,52.5121686,order_931fcc05-ad4f-40dc-900c-4c59832cbb57,wash_11
90,13.38388444,52.51843207,23,245,395,23,13.3766736,52.5004782,order_80d28ec0-5724-44f7-a183-b61757326a73,refuel_225
91,13.271999,52.438439,19,245,320,19,13.2657076867028,52.436204956358,order_51b2614f-b570-49df-8072-37d05653a722,refuel_97
92,13.262721,52.438853,18,245,275,18,13.2657076867028,52.436204956358,order_20ed00a9-ee74-4f41-87bc-b6ba8b7d6833,refuel_97
93,13.360326,52.544327,19,258,480,19,13.356310000000008,52.53955,order_fccf8a7a-13c0-4289-ad3b-b44319a4b3d1,stationary_charge_343
94,13.428682,52.5786,20,258,480,20,13.4211,52.58555,order_71befb9a-d49a-42b8-8415-94fc454cdbb3,stationary_charge_1584
95,13.2917,52.458004,16,258,480,16,13.291687,52.457986,order_922ad439-ee5a-42b5-b5f3-495b7353b5cb,stationary_charge_1416
96,13.32556268,52.518306,17,261,425,17,13.3219282603047,52.5143851993217,order_90ed3af4-4f65-4e0e-a4a8-789008b49d7e,refuel_53
